start,end,peak_hour,file_name
1993-11-08 04:00:00+00:00,1993-11-09 09:00:00+00:00,1993-11-08 17:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1993-11-21 16:00:00+00:00,1993-11-30 06:00:00+00:00,1993-11-22 17:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
1993-11-21 17:00:00+00:00,1993-11-22 22:00:00+00:00,1993-11-22 17:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1993-11-21 17:00:00+00:00,1993-11-26 10:00:00+00:00,1993-11-22 17:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
1993-11-23 04:00:00+00:00,1993-11-26 07:00:00+00:00,1993-11-26 07:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1994-01-31 17:00:00+00:00,1994-02-07 22:00:00+00:00,1994-01-31 19:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1994-02-15 16:00:00+00:00,1994-02-22 20:00:00+00:00,1994-02-16 18:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_SC_solved.nc
1994-02-21 17:00:00+00:00,1994-02-24 18:00:00+00:00,1994-02-21 18:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1994-04-19 03:00:00+00:00,1994-04-20 08:00:00+00:00,1994-04-19 19:00:00+00:00,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-08-22 17:00:00+00:00,2002-08-23 22:00:00+00:00,2002-08-23 06:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-09-19 03:00:00+00:00,2002-09-20 08:00:00+00:00,2002-09-19 18:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-10-30 16:00:00+00:00,2002-10-31 21:00:00+00:00,2002-10-31 06:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-12-12 12:00:00+00:00,2002-12-21 00:00:00+00:00,2002-12-20 17:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
2002-12-13 16:00:00+00:00,2002-12-20 18:00:00+00:00,2002-12-13 16:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2003-02-06 17:00:00+00:00,2003-02-15 07:00:00+00:00,2003-02-11 18:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
2003-02-10 17:00:00+00:00,2003-02-11 22:00:00+00:00,2003-02-11 18:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2003-02-13 02:00:00+00:00,2003-02-14 07:00:00+00:00,2003-02-14 07:00:00+00:00,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-07-11 19:00:00+00:00,2019-07-19 06:00:00+00:00,2019-07-11 20:00:00+00:00,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-10-21 15:00:00+00:00,2019-10-22 20:00:00+00:00,2019-10-21 18:00:00+00:00,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-10-29 05:00:00+00:00,2019-11-06 17:00:00+00:00,2019-11-06 17:00:00+00:00,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-01-01 18:00:00+00:00,2020-01-14 23:00:00+00:00,2020-01-01 18:00:00+00:00,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-01-24 16:00:00+00:00,2020-01-25 21:00:00+00:00,2020-01-24 18:00:00+00:00,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-06-16 01:00:00+00:00,2020-06-17 06:00:00+00:00,2020-06-17 05:00:00+00:00,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
