start,end,peak_hour,summed_cost,peak_cost,file_name
1993-11-08 04:00:00+00:00,1993-11-09 09:00:00+00:00,1993-11-08 17:00:00+00:00,279091118779.4337,138141831401.60092,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1993-11-21 16:00:00+00:00,1993-11-30 06:00:00+00:00,1993-11-22 17:00:00+00:00,100028544011.44089,2366148000.872586,1993_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
1993-11-21 17:00:00+00:00,1993-11-22 22:00:00+00:00,1993-11-22 17:00:00+00:00,310443939278.83264,138144773494.22192,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1993-11-21 17:00:00+00:00,1993-11-26 10:00:00+00:00,1993-11-22 17:00:00+00:00,100089512395.5437,4751419136.745572,1993_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
1993-11-23 04:00:00+00:00,1993-11-26 07:00:00+00:00,1993-11-26 07:00:00+00:00,108122971533.10889,40393619836.428795,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1994-01-31 17:00:00+00:00,1994-02-07 22:00:00+00:00,1994-01-31 19:00:00+00:00,109777761291.2897,35120386824.96621,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1994-02-15 16:00:00+00:00,1994-02-22 20:00:00+00:00,1994-02-16 18:00:00+00:00,100121534498.39789,4426115930.108228,1993_181_90m_c1.25_Co2L0.0-1H_SC_solved.nc
1994-02-21 17:00:00+00:00,1994-02-24 18:00:00+00:00,1994-02-21 18:00:00+00:00,100584265578.36859,35494686630.002884,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
1994-04-19 03:00:00+00:00,1994-04-20 08:00:00+00:00,1994-04-19 19:00:00+00:00,270606624240.9179,107470826843.09232,1993_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-08-22 17:00:00+00:00,2002-08-23 22:00:00+00:00,2002-08-23 06:00:00+00:00,115060147655.72084,58345639581.86644,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-09-19 03:00:00+00:00,2002-09-20 08:00:00+00:00,2002-09-19 18:00:00+00:00,244177265926.09033,169780110577.32272,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-10-30 16:00:00+00:00,2002-10-31 21:00:00+00:00,2002-10-31 06:00:00+00:00,166211737290.3523,48838327124.29972,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2002-12-12 12:00:00+00:00,2002-12-21 00:00:00+00:00,2002-12-20 17:00:00+00:00,100030596556.83441,2239368634.8200316,2002_181_90m_c1.25_Co2L0.0-1H_LT_solved.nc
2002-12-13 16:00:00+00:00,2002-12-20 18:00:00+00:00,2002-12-13 16:00:00+00:00,116605539304.24883,47320879434.46378,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2003-02-06 17:00:00+00:00,2003-02-15 07:00:00+00:00,2003-02-11 18:00:00+00:00,100015721828.28496,3567802873.2637157,2002_181_90m_c1.25_Co2L0.0-1H_UC_solved.nc
2003-02-10 17:00:00+00:00,2003-02-11 22:00:00+00:00,2003-02-11 18:00:00+00:00,228930364491.34076,57893033969.83031,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2003-02-13 02:00:00+00:00,2003-02-14 07:00:00+00:00,2003-02-14 07:00:00+00:00,124736702649.42532,62747113815.14422,2002_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-07-11 19:00:00+00:00,2019-07-19 06:00:00+00:00,2019-07-11 20:00:00+00:00,131611723039.49432,45287138695.64728,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-10-21 15:00:00+00:00,2019-10-22 20:00:00+00:00,2019-10-21 18:00:00+00:00,134553351309.2259,45865460254.67556,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2019-10-29 05:00:00+00:00,2019-11-06 17:00:00+00:00,2019-11-06 17:00:00+00:00,142770437153.99023,43245847774.27939,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-01-01 18:00:00+00:00,2020-01-14 23:00:00+00:00,2020-01-01 18:00:00+00:00,134089972563.06631,30327203751.23856,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-01-24 16:00:00+00:00,2020-01-25 21:00:00+00:00,2020-01-24 18:00:00+00:00,217504745672.07474,102967303125.76785,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
2020-06-16 01:00:00+00:00,2020-06-17 06:00:00+00:00,2020-06-17 05:00:00+00:00,130806066786.4744,42828206608.95983,2019_181_90m_c1.25_Co2L0.0-1H_LS_solved.nc
